slug,theme,title,formula,base,dataset,weight,kind,domain,unit,agencies,headline,headline_order,sex_age_of,edu_emp_of,source
fra_hungerch,Living conditions,Children under 18 in a household where someone went to bed hungry (FRA),% of household members under 18 in households where someone went to bed hungry in the past month,"All children in the surveyed households, who are aged 0–17",member,hhweight_final,binary,living conditions,All children in the surveyed households,FRA,,,person,household head,FRA
fra_endsmeet,Living conditions,Household makes ends meet with difficulty (FRA),% of household members living in a household that make ends meet with difficulty or great difficulty,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_si07r,Living conditions,Do not have a bank account (respondents 16+) (FRA),% of household members aged 16+ living in a household with no bank account,All members of surveyed households aged 16+,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_ece_partic,Education,Children aged 3 to primary-start age attending early childhood education (FRA),% of household members from age 3 to the start of primary school who attend early childhood education,"All children in the surveyed households, who are aged 3 up to (but not including) primary-school starting age",member,hhweight_final,binary,education,All children in the surveyed households,FRA,,,person,household head,FRA
fra_edumax,Education,"Completed upper secondary education, ages 20–24 (FRA)",% of household members aged 20–24 who have at least upper secondary education,All members of surveyed households aged 20–24,member,hhweight_final,binary,education,All members of surveyed households,FRA,,,person,person,FRA
fra_hch05b2,Education,Children 6–15 in schools where all/most schoolmates are Roma (FRA),% of household members aged 6–15 who are in school and report that all or most schoolmates are Roma,"All children in the surveyed households, who are aged 6–15 and attending school",member,hhweight_final,binary,education,All children in the surveyed households,FRA,Yes,4,person,household head,FRA
fra_edu_attending_compulsoryage,Education,Attending school at compulsory age (FRA),% of household members of compulsory schooling age who are attending education,"All children in the surveyed households, who are of compulsory schooling age (country-specific)",member,hhweight_final,binary,education,All children in the surveyed households,FRA,,,person,household head,FRA
fra_early_leaver,Education,Early leavers from education and training (18–24) (FRA),% of household members aged 18–24 who left education early (below upper secondary and not in education),All members of surveyed households aged 18–24 with a valid education answer,member,hhweight_final,binary,education,All members of surveyed households,FRA,Yes,5,person,person,FRA
fra_edutert,Education,Aged 30–34 with tertiary education (FRA),% of household members aged 30–34 who have tertiary education,All members of surveyed households aged 30–34,member,hhweight_final,binary,education,All members of surveyed households,FRA,,,person,person,FRA
fra_work,Employment,"Main activity is paid work, ages 20–64 (FRA)",% of household members aged 20–64 whose main activity is paid work,All members of surveyed households aged 20–64,member,hhweight_final,binary,work and employment,All members of surveyed households,FRA,,,person,person,FRA
fra_neet,Employment,"NEET, ages 16–24 (FRA)","% of household members aged 16–24 who are not in employment, education or training",All members of surveyed households aged 16–24,member,hhweight_final,binary,work and employment,All members of surveyed households,FRA,,,person,person,FRA
fra_dhe01_r,Health,"Good or very good self-rated health, ages 16+ (FRA)",% of household members aged 16+ who rate their health as very good or good,All members of surveyed households aged 16+,member,hhweight_final,binary,health,All members of surveyed households,FRA,,,person,person,FRA
fra_hea_insurance,Health,"Has medical insurance, ages 16+ (FRA)",% of household members aged 16+ who have medical insurance coverage,All members of surveyed households aged 16+,member,hhweight_final,binary,health,All members of surveyed households,FRA,,,person,person,FRA
fra_overcrowd,Housing / living conditions,Overcrowding (Eurostat rooms rule) (FRA),% of household members living in overcrowded housing (Eurostat rooms rule),All members of surveyed households with valid rooms information,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_hls04_1r,Housing / living conditions,No tap water inside the dwelling (FRA),% of household members living in a dwelling with no tap water inside,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_sanitation1,Housing / living conditions,Neither toilet nor shower/bathroom inside (FRA),% of household members living in a dwelling with neither a toilet nor a shower/bathroom inside,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_hls06_3,Housing / living conditions,Leaking roof / damp / rot (FRA),"% of household members living in a dwelling with a leaking roof, damp walls, or rot",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_eviction,Housing / living conditions,Forced to leave accommodation in past 5 years (FRA),% of household members living in a household forced to leave their accommodation in the past 5 years,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_gender_employment_gap,Employment,"Gender gap in paid work (men − women, ages 20–64, pp) (FRA)","Among household members: percentage-point difference between men’s and women’s paid-work rates among ages 20–64 (FRA main-activity / last-week paid work, not ILO employment)",All members of surveyed households aged 20–64 with a valid activity status,member,hhweight_final,gender_gap,work and employment,All members of surveyed households,FRA,Yes,5,person,person,FRA
fra_dis12overall,Discrimination,Discrimination in core areas of life in the past year (ethnic ground) (FRA),% of respondents interviewed who were in a core-life situation in the past 5 years and were discriminated against in the past 12 months because they were Roma / because of ethnicity. Not combined with other grounds.,"Respondents interviewed who were in any J2 risk situation (looked for work, had a job, housing search, health, education, admin, or other core contact in the past 5 years)",individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,,,respondent,respondent,FRA
fra_redisoverall1,Discrimination,Reported the last discrimination incident (ethnic ground) (FRA),% of respondents interviewed who experienced ethnic-ground discrimination in the past 12 months and reported the last incident,Respondents interviewed who experienced discrimination in the past 12 months,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,,,respondent,respondent,FRA
fra_dis12eduinst,Discrimination,Discrimination in education in the past year (ethnic ground) (FRA),"% of respondents interviewed who, as a student or as a parent, had contact with a school or training institution in the past 5 years and were discriminated against by staff there in the past 12 months because they were Roma / because of ethnicity. Not combined with other grounds (gender, age, disability, etc.).",Respondents interviewed who had contact with a school or training institution as a student or parent,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,Yes,5,respondent,respondent,FRA
fra_dis12atwork,Discrimination,Discrimination at work in the past year (ethnic ground) (FRA),"% of respondents interviewed who had a job in the past 5 years and were discriminated against at work in the past 12 months because they were Roma / because of ethnicity. Not combined with other grounds (gender, age, disability, etc.).",Respondents interviewed who were at risk of discrimination at work,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,Yes,2,respondent,respondent,FRA
fra_dis12lkwork,Discrimination,Discrimination when looking for work in the past year (ethnic ground) (FRA),"% of respondents interviewed who looked for work in the past 5 years and were discriminated against when looking for work in the past 12 months because they were Roma / because of ethnicity. Not combined with other grounds (gender, age, disability, etc.).",Respondents interviewed who were at risk of discrimination when looking for work,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,Yes,3,respondent,respondent,FRA
fra_dis12health,Discrimination,Discrimination in healthcare in the past year (ethnic ground) (FRA),"% of respondents interviewed who used health services in the past 5 years and were discriminated against in healthcare in the past 12 months because they were Roma / because of ethnicity. Not combined with other grounds (gender, age, disability, etc.).",Respondents interviewed who were at risk of discrimination in healthcare,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,Yes,4,respondent,respondent,FRA
fra_dis5house,Discrimination,Discrimination when looking for housing in the past 5 years (ethnic ground) (FRA),% of respondents interviewed who looked for housing in the past 5 years and were discriminated against because they were Roma / because of ethnicity. Not combined with other grounds.,Respondents interviewed who were at risk of discrimination when looking for housing,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,FRA,,,respondent,respondent,FRA
